SIGUN_NM,SERVC_NM,SPORT_TARGET,SERVC_RINK_ADDR,CHARGE_DEPT_NM,APLCATN_METH,SPORT_CYCL
광주시,청각장애인 인공달팽이관 수술지원자 재활치료비 지원,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000316&wlfareInfoReldBztpCd=02,경기도 광주시 복지문화국 노인장애인과,방문,월
시흥시,결혼이민자 한국사회 이해증진,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002995&wlfareInfoReldBztpCd=02,경기도 시흥시 복지국 외국인주민과,,년
양평군,저소득 한부모가정 지원,한부모·조손,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002629&wlfareInfoReldBztpCd=02,경기도 양평군 문화복지국 가족복지과,,1회성
광주시,무료마켓 운영,"장애인, 한부모·조손, 저소득",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003404&wlfareInfoReldBztpCd=02,경기도 광주시 복지문화국 복지정책과,방문,월
하남시,행려자 처리(귀향여비),,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001400&wlfareInfoReldBztpCd=02,경기도 하남시 복지문화국 복지정책과,,1회성
광주시,차상위계층 건강보험료 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003129&wlfareInfoReldBztpCd=02,경기도 광주시 복지문화국 복지정책과,인터넷,월
광주시,이재민 구호,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003044&wlfareInfoReldBztpCd=02,경기도 광주시 복지문화국 복지정책과,,1회성
광주시,저소득층 위문,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003128&wlfareInfoReldBztpCd=02,경기도 광주시 복지문화국 복지정책과,,1회성
성남시,중증장애인 사회적응활동 지원,"장애인, 저소득",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001298&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 장애인복지과,방문,월
성남시,중증장애인활동지원사업(시비),장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001382&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 장애인복지과,방문,월
성남시,저소득중증청각장애아동재활치료비지원,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001297&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 장애인복지과,방문,년
성남시,저소득세대 건강보험료 지원,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000710&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 장애인복지과,,월
성남시,장애인가정 출산지원금지원,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001274&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 장애인복지과,방문,수시
성남시,노숙인 귀향여비,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000680&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 복지정책과,,1회성
구리시,보훈행사 추진(보훈대상자 행사 참가자 보상),보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000994&wlfareInfoReldBztpCd=02,경기도 구리시 복지문화국 복지정책과,,1회성
화성시,경로잔치 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002709&wlfareInfoReldBztpCd=02,경기도 화성시 시민복지국 중장년노인복지과,,1회성
군포시,어린이날 행사 운영,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000723&wlfareInfoReldBztpCd=02,경기도 군포시 복지국 아동청소년과,,1회성
남양주시,가정위탁아동 능력개발비,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003557&wlfareInfoReldBztpCd=02,경기도 남양주시 복지국 여성아동과,방문,월
구리시,재해구호,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003553&wlfareInfoReldBztpCd=02,경기도 구리시 복지문화국 복지정책과,,1회성
성남시,출산장려금 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001360&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 여성가족과,방문,1회성
하남시,이재민 구호사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001270&wlfareInfoReldBztpCd=02,경기도 하남시 복지문화국 복지정책과,,1회성
성남시,"수급자, 저소득층 특수촬영비 지원",,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001569&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 복지정책과,방문,1회성
화성시,장수수당 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004393&wlfareInfoReldBztpCd=02,경기도 화성시 시민복지국 중장년노인복지과,방문,월
성남시,보훈회원 일자리 창출,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001547&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 복지정책과,방문,월
성남시,보훈가족위문,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003939&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 복지정책과,방문,월
고양시,출산지원금,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002522&wlfareInfoReldBztpCd=02,경기도 고양시 복지여성국 여성가족과,"방문, 인터넷",1회성
광명시,치매예방 인지증진 방문학습,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006149&wlfareInfoReldBztpCd=02,경기도 광명시 보건소 보건정책과,,월
광명시,아빠 육아휴직 장려금 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004890&wlfareInfoReldBztpCd=02,경기도 광명시 사회복지국 여성가족과,방문,1회성
여주시,장애인활동지원 시비추가 지원 사업,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004488&wlfareInfoReldBztpCd=02,경기도 여주시 문화복지국 복지행정과,,월
광명시,한방 난임치료 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001542&wlfareInfoReldBztpCd=02,경기도 광명시 보건소 감염병관리과,방문,수시
광명시,아이소망 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000893&wlfareInfoReldBztpCd=02,경기도 광명시 보건소 감염병관리과,방문,수시
양평군,양평군 대안교육기관 이용 청소년 급식 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001582&wlfareInfoReldBztpCd=02,경기도 양평군 문화복지국 가족복지과,방문,분기
광명시,산전 검사 쿠폰 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001469&wlfareInfoReldBztpCd=02,경기도 광명시 보건소 감염병관리과,방문,1회성
광명시,기형아 검사 쿠폰 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001449&wlfareInfoReldBztpCd=02,경기도 광명시 보건소 감염병관리과,방문,1회성
,저소득층 매입임대주택 임대보증금 지원사업,"장애인, 한부모·조손, 저소득",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000719&wlfareInfoReldBztpCd=02,경기도 도시주택실 주택정책과,,1회성
이천시,행복장애수당,"저소득, 장애인",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003139&wlfareInfoReldBztpCd=02,경기도 이천시 복지환경국 노인장애인과,방문,월
이천시,사망 참전유공자 배우자 복지수당,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000891&wlfareInfoReldBztpCd=02,경기도 이천시 복지환경국 복지정책과,방문,월
이천시,이천시 자활기금 특별회계,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001325&wlfareInfoReldBztpCd=02,경기도 이천시 복지환경국 복지정책과,방문,1회성
고양시,보훈명예수당,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002526&wlfareInfoReldBztpCd=02,경기도 고양시 사회복지국 복지정책과,방문,월
고양시,보훈대상자 사망위로금,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000971&wlfareInfoReldBztpCd=02,경기도 고양시 사회복지국 복지정책과,방문,1회성
고양시,8.15 광복절 위문금(애국지사 및 유족),,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000966&wlfareInfoReldBztpCd=02,경기도 고양시 사회복지국 복지정책과,,년
이천시,재가장애인 식사배달사업비 지원,"장애인, 저소득",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000895&wlfareInfoReldBztpCd=02,경기도 이천시 복지환경국 노인장애인과,,분기
이천시,이천시 장수수당,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001326&wlfareInfoReldBztpCd=02,경기도 이천시 복지환경국 노인장애인과,방문,월
포천시,장수수당,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004621&wlfareInfoReldBztpCd=02,경기도 포천시 복지환경국 노인장애인과,방문,월
남양주시,청각장애인 인공달팽이관 재활치료비 지원,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001016&wlfareInfoReldBztpCd=02,경기도 남양주시 복지국 장애인복지과,방문,수시
남양주시,장애인가정 출산지원금 지원,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003577&wlfareInfoReldBztpCd=02,경기도 남양주시 복지국 장애인복지과,방문,수시
이천시,보훈대상자 위문,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000890&wlfareInfoReldBztpCd=02,경기도 이천시 복지환경국 복지정책과,,수시
이천시,보훈(참전)명예수당,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001300&wlfareInfoReldBztpCd=02,경기도 이천시 복지환경국 복지정책과,방문,월
이천시,노숙자 구호비 등,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001595&wlfareInfoReldBztpCd=02,경기도 이천시 복지환경국 복지정책과,방문,1회성
이천시,사랑의 밑반찬 지원사업,저소득,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001301&wlfareInfoReldBztpCd=02,경기도 이천시 복지환경국 복지정책과,"방문, 전화, 우편",월
화성시,화성시 결혼·출산 기반자금 마련을 위한 매칭통장(결혼),,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006095&wlfareInfoReldBztpCd=02,경기도 화성시 복지국 아동친화과,인터넷,월
시흥시,중증장애인활동지원 사업(자체),장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005480&wlfareInfoReldBztpCd=02,경기도 시흥시 복지국 장애인복지과,방문,월
시흥시,장애학생 교내활동지원 사업,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004715&wlfareInfoReldBztpCd=02,경기도 시흥시 복지국 장애인복지과,방문,월
시흥시,장애인 재활프로그램,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003822&wlfareInfoReldBztpCd=02,경기도 시흥시 복지국 장애인복지과,방문,월
군포시,어린이집 생애최초 입학준비금 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001640&wlfareInfoReldBztpCd=02,경기도 군포시 생애복지국 여성가족과,방문,1회성
시흥시,장애인 복지카드(A형) 발급 수수료 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001620&wlfareInfoReldBztpCd=02,경기도 시흥시 복지국 장애인복지과,방문,월
시흥시,취약계층 인플루엔자 예방접종 지원사업,"저소득, 장애인",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004481&wlfareInfoReldBztpCd=02,경기도 시흥시 보건소 감염병관리과,,1회성
시흥시,무료급식 지원,저소득,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000806&wlfareInfoReldBztpCd=02,경기도 시흥시 복지국 노인복지과,방문,분기
고양시,"상수도요금감면(기초생활수급자,국가(독립)유공자,어린이집,유치원,사회복지시설,다문화가정,한부모가정,다자녀가정)","다자녀, 보훈대상자, 다문화·탈북민, 한부모·조손, 저소득",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003929&wlfareInfoReldBztpCd=02,경기도 고양시 상하수도사업소 수도행정과,"인터넷, 방문",월
군포시,임신축하금 지급,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001473&wlfareInfoReldBztpCd=02,경기도 군포시 보건소 산본보건지소,방문,1회성
파주시,장애인가정 출산 지원,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001593&wlfareInfoReldBztpCd=02,경기도 파주시 복지정책국 노인장애인과,방문,1회성
시흥시,유기 및 위기아동지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000809&wlfareInfoReldBztpCd=02,경기도 시흥시 복지국 아동돌봄과,,1회성
고양시,6월 호국보훈의 달 위문금,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001418&wlfareInfoReldBztpCd=02,경기도 고양시 사회복지국 복지정책과,,년
시흥시,노인활동경진대회,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001045&wlfareInfoReldBztpCd=02,경기도 시흥시 복지국 노인복지과,,1회성
파주시,독립유공자 유족 수당 및 유족 위문금,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004619&wlfareInfoReldBztpCd=02,경기도 파주시 복지정책국 복지정책과,,월
파주시,파주시 보훈명예수당 지급,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004042&wlfareInfoReldBztpCd=02,경기도 파주시 복지정책국 복지정책과,방문,월
광명시,장애인 휠체어 수리비 지원,"장애인, 저소득",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001470&wlfareInfoReldBztpCd=02,경기도 광명시 사회복지국 장애인복지과,"방문, 전화",수시
광명시,장애인 이동지원사업,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001261&wlfareInfoReldBztpCd=02,경기도 광명시 사회복지국 장애인복지과,"인터넷, 방문, 전화",분기
동두천시,신혼부부 및 청년 전월세 보증금 대출이자 지원사업 계획,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006089&wlfareInfoReldBztpCd=02,경기도 동두천시 복지문화국 복지정책과,방문,년
동두천시,어르신 병원 안심동행 서비스 사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005912&wlfareInfoReldBztpCd=02,경기도 동두천시 복지문화국 사회복지과,전화,수시
안성시,안성시 저소득층 무상교통 지원사업,"저소득, 한부모·조손",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005491&wlfareInfoReldBztpCd=02,경기도 안성시 도시경제국 교통정책과,인터넷,월
,경기도 소규모 노후주택 집수리 지원사업,"한부모·조손, 저소득",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005270&wlfareInfoReldBztpCd=02,경기도 도시주택실 도시재생과,"방문, 우편",1회성
안성시,안성시 어르신 무상교통 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005113&wlfareInfoReldBztpCd=02,경기도 안성시 도시경제국 교통정책과,방문,분기
,난임부부 시술비 지원(경기형) 사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005283&wlfareInfoReldBztpCd=02,경기도 구리시 보건소 건강증진과,방문,1회성
고양시,고양시 출산가구 전월세자금 대출이자 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004691&wlfareInfoReldBztpCd=02,경기도 고양시 복지여성국 여성가족과,방문,년
구리시,구리시 무주택 신혼부부 전월세자금 대출이자 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002385&wlfareInfoReldBztpCd=02,경기도 구리시 안전도시국 건축과,방문,년
,경기도 산후조리비 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001361&wlfareInfoReldBztpCd=02,경기도 보건건강국 건강증진과,방문,1회성
평택시,평택시 저소득층 초·중·고교 신입생 입학준비금 지원,저소득,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001911&wlfareInfoReldBztpCd=02,경기도 평택시 복지국 사회복지과,방문,1회성
평택시,장애인 보조기기 수리비용 지원,"저소득, 장애인",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000650&wlfareInfoReldBztpCd=02,경기도 평택시 복지국 노인장애인과,방문,수시
안양시,저소득한부모가족 생활안정 지원,한부모·조손,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002552&wlfareInfoReldBztpCd=02,경기도 안양시 복지문화국 여성가족과,방문,1회성
구리시,차상위계층 건강보험료 지원,"한부모·조손, 저소득",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003555&wlfareInfoReldBztpCd=02,경기도 구리시 복지문화국 복지정책과,,월
하남시,국가보훈대상자 등 지원,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001588&wlfareInfoReldBztpCd=02,경기도 하남시 복지문화국 복지정책과,방문,월
안성시,장애인가정 출산지원금,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003366&wlfareInfoReldBztpCd=02,경기도 안성시 복지교육국 사회복지과,"우편, 방문",1회성
안성시,사망한 참전유공자의 배우자 수당,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003880&wlfareInfoReldBztpCd=02,경기도 안성시 복지교육국 복지정책과,방문,월
안성시,취약계층응급지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001523&wlfareInfoReldBztpCd=02,경기도 안성시 복지교육국 복지정책과,"방문, 전화",1회성
,저소득 재가노인 식사배달,저소득,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004001&wlfareInfoReldBztpCd=02,경기도 복지국 노인복지과,"전화, 방문",주
,저소득 노인가구 건강보험료,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004069&wlfareInfoReldBztpCd=02,경기도 복지국 노인복지과,,월
,기초생활수급 노인 월동난방비 지원,저소득,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003678&wlfareInfoReldBztpCd=02,경기도 복지국 노인복지과,,년
하남시,장애인 이동보조기기 수리사업,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001292&wlfareInfoReldBztpCd=02,경기도 하남시 복지문화국 노인장애인복지과,방문,월
하남시,장애인 급식소 운영,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001291&wlfareInfoReldBztpCd=02,경기도 하남시 복지문화국 노인장애인복지과,,수시
하남시,장애인가정 출산지원금 지원,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001293&wlfareInfoReldBztpCd=02,경기도 하남시 복지문화국 노인장애인복지과,방문,수시
안성시,국가보훈대상자 사망위로금,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001408&wlfareInfoReldBztpCd=02,경기도 안성시 복지교육국 복지정책과,방문,1회성
안성시,안성시 국가보훈대상자 보훈명예수당 지급,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001502&wlfareInfoReldBztpCd=02,경기도 안성시 복지교육국 복지정책과,방문,월
구리시,다자녀가구 행복더하기(지역화폐),다자녀,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003868&wlfareInfoReldBztpCd=02,경기도 구리시 복지문화국 가족복지과,방문,년
,햇살하우징 사업,저소득,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005926&wlfareInfoReldBztpCd=02,경기도 도시주택실 주택정책과,방문,1회성
,어르신 안전 하우징,저소득,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005924&wlfareInfoReldBztpCd=02,경기도 도시주택실 주택정책과,방문,1회성
구리시,어린이집 이용 아동(다자녀 아동 등) 입소료 지원,"다문화·탈북민, 다자녀, 한부모·조손",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003554&wlfareInfoReldBztpCd=02,경기도 구리시 복지문화국 가족복지과,"방문, 인터넷",수시
안산시,안산시 청년 부동산 중개보수 및 이사비 지원사업,"장애인, 보훈대상자, 다문화·탈북민",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006041&wlfareInfoReldBztpCd=02,경기도 안산시 청년정책관,인터넷,1회성
평택시,무연고 사망자 장례비 지원(송탄출장소),,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006040&wlfareInfoReldBztpCd=02,경기도 평택시 송탄출장소 사회복지과,"방문, 우편",1회성
평택시,무연고 행려 사망자 공고료(송탄출장소),,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006039&wlfareInfoReldBztpCd=02,경기도 평택시 송탄출장소 사회복지과,방문,1회성
안산시,찾아가는 임신출산관리서비스,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005732&wlfareInfoReldBztpCd=02,경기도 안산시 상록수보건소,"전화, 방문",1회성
,수원형 통합돌봄 수원새빛돌봄(누구나) 사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005718&wlfareInfoReldBztpCd=02,경기도 수원시 시민복지국 돌봄정책과,"방문, 전화, 모바일앱",수시
의왕시,신혼부부 주택임차보증금 대출이자 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005027&wlfareInfoReldBztpCd=02,경기도 의왕시 도시안전국 건축과,"방문, 인터넷",년
안산시,안산시 대학생 본인부담 등록금 반값 지원,"장애인, 저소득, 한부모·조손",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004858&wlfareInfoReldBztpCd=02,경기도 안산시 행정안전교육국 교육청소년과,"방문, 우편, 인터넷",반기
파주시,지역자율형 사회서비스 투자(산모신생아 건강관리사지원),,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003882&wlfareInfoReldBztpCd=02,경기도 파주시 파주보건소 건강증진과,"방문, 인터넷",1회성
파주시,파주시 정신질환자 자립촉진비 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004355&wlfareInfoReldBztpCd=02,경기도 파주시 파주보건소 건강증진과,방문,분기
